name	type	description	onlinefilter	samplingrate
MLP35-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP45-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP56-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP57-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT15-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT16-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT25-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT26-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT27-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT35-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT36-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT37-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT45-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT46-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT47-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
